,datetime,holiday,workingday,temp,atemp,humidity,windspeed,hour,date,date_newyear_num,count,season_1,season_2,season_3,season_4,weather_1,weather_2,weather_3,weather_4,weekday_Friday,weekday_Monday,weekday_Saturday,weekday_Sunday,weekday_Thursday,weekday_Tuesday,weekday_Wednesday
0,2011-01-01 00:00:00,0,0,9.84,14.395,81,0.0,0,2011-01-01,0,16,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,2011-01-01 01:00:00,0,0,9.02,13.635,80,0.0,1,2011-01-01,0,40,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2,2011-01-01 02:00:00,0,0,9.02,13.635,80,0.0,2,2011-01-01,0,32,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3,2011-01-01 03:00:00,0,0,9.84,14.395,75,0.0,3,2011-01-01,0,13,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
4,2011-01-01 04:00:00,0,0,9.84,14.395,75,0.0,4,2011-01-01,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
5,2011-01-01 05:00:00,0,0,9.84,12.88,75,6.0032,5,2011-01-01,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
6,2011-01-01 06:00:00,0,0,9.02,13.635,80,0.0,6,2011-01-01,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
7,2011-01-01 07:00:00,0,0,8.2,12.88,86,0.0,7,2011-01-01,0,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
8,2011-01-01 08:00:00,0,0,9.84,14.395,75,0.0,8,2011-01-01,0,8,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
9,2011-01-01 09:00:00,0,0,13.12,17.425,76,0.0,9,2011-01-01,0,14,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
10,2011-01-01 10:00:00,0,0,15.58,19.695,76,16.9979,10,2011-01-01,0,36,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
11,2011-01-01 11:00:00,0,0,14.76,16.665,81,19.0012,11,2011-01-01,0,56,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
12,2011-01-01 12:00:00,0,0,17.22,21.21,77,19.0012,12,2011-01-01,0,84,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
13,2011-01-01 13:00:00,0,0,18.86,22.725,72,19.9995,13,2011-01-01,0,94,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
14,2011-01-01 14:00:00,0,0,18.86,22.725,72,19.0012,14,2011-01-01,0,106,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
15,2011-01-01 15:00:00,0,0,18.04,21.97,77,19.9995,15,2011-01-01,0,110,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
16,2011-01-01 16:00:00,0,0,17.22,21.21,82,19.9995,16,2011-01-01,0,93,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
17,2011-01-01 17:00:00,0,0,18.04,21.97,82,19.0012,17,2011-01-01,0,67,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
18,2011-01-01 18:00:00,0,0,17.22,21.21,88,16.9979,18,2011-01-01,0,35,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
19,2011-01-01 19:00:00,0,0,17.22,21.21,88,16.9979,19,2011-01-01,0,37,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
20,2011-01-01 20:00:00,0,0,16.4,20.455,87,16.9979,20,2011-01-01,0,36,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
21,2011-01-01 21:00:00,0,0,16.4,20.455,87,12.998,21,2011-01-01,0,34,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
22,2011-01-01 22:00:00,0,0,16.4,20.455,94,15.0013,22,2011-01-01,0,28,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
23,2011-01-01 23:00:00,0,0,18.86,22.725,88,19.9995,23,2011-01-01,0,39,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
24,2011-01-02 00:00:00,0,0,18.86,22.725,88,19.9995,0,2011-01-02,1,17,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
25,2011-01-02 01:00:00,0,0,18.04,21.97,94,16.9979,1,2011-01-02,1,17,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
26,2011-01-02 02:00:00,0,0,17.22,21.21,100,19.0012,2,2011-01-02,1,9,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
27,2011-01-02 03:00:00,0,0,18.86,22.725,94,12.998,3,2011-01-02,1,6,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
28,2011-01-02 04:00:00,0,0,18.86,22.725,94,12.998,4,2011-01-02,1,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
29,2011-01-02 06:00:00,0,0,17.22,21.21,77,19.9995,6,2011-01-02,1,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
30,2011-01-02 07:00:00,0,0,16.4,20.455,76,12.998,7,2011-01-02,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
31,2011-01-02 08:00:00,0,0,16.4,20.455,71,15.0013,8,2011-01-02,1,8,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
32,2011-01-02 09:00:00,0,0,15.58,19.695,76,15.0013,9,2011-01-02,1,20,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
33,2011-01-02 10:00:00,0,0,14.76,17.425,81,15.0013,10,2011-01-02,1,53,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
34,2011-01-02 11:00:00,0,0,14.76,16.665,71,16.9979,11,2011-01-02,1,70,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
35,2011-01-02 12:00:00,0,0,14.76,16.665,66,19.9995,12,2011-01-02,1,93,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
36,2011-01-02 13:00:00,0,0,14.76,17.425,66,8.9981,13,2011-01-02,1,75,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
37,2011-01-02 14:00:00,0,0,14.76,17.425,76,12.998,14,2011-01-02,1,59,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
38,2011-01-02 15:00:00,0,0,13.94,16.665,81,11.0014,15,2011-01-02,1,74,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
39,2011-01-02 16:00:00,0,0,13.94,16.665,71,11.0014,16,2011-01-02,1,76,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
40,2011-01-02 17:00:00,0,0,13.94,16.665,57,12.998,17,2011-01-02,1,65,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
41,2011-01-02 18:00:00,0,0,14.76,16.665,46,22.0028,18,2011-01-02,1,53,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
42,2011-01-02 19:00:00,0,0,13.12,14.395,42,30.0026,19,2011-01-02,1,30,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
